time,open,high,low,close,tick_count
2025-05-20 00:45:00,32.342,32.349,32.325,32.339,30
2025-05-20 01:00:00,32.345,32.382,32.306,32.380,46
2025-05-20 01:15:00,32.377,32.382,32.293,32.301,31
2025-05-20 01:30:00,32.308,32.407,32.304,32.368,54
2025-05-20 01:45:00,32.353,32.353,32.305,32.320,51
2025-05-20 02:00:00,32.318,32.329,32.217,32.232,45
2025-05-20 02:15:00,32.220,32.246,32.209,32.236,77
2025-05-20 02:30:00,32.232,32.249,32.209,32.225,51
2025-05-20 02:45:00,32.227,32.273,32.215,32.229,69
2025-05-20 03:00:00,32.219,32.246,32.219,32.221,47
2025-05-20 03:15:00,32.246,32.254,32.233,32.247,26
2025-05-20 03:30:00,32.247,32.247,32.188,32.196,59
2025-05-20 03:45:00,32.197,32.212,32.177,32.182,57
2025-05-20 04:00:00,32.182,32.195,32.174,32.195,42
2025-05-20 04:15:00,32.195,32.202,32.182,32.199,47
2025-05-20 04:30:00,32.199,32.199,32.141,32.161,56
2025-05-20 04:45:00,32.151,32.237,32.151,32.217,61
2025-05-20 05:00:00,32.217,32.298,32.217,32.244,82
2025-05-20 05:15:00,32.244,32.297,32.244,32.297,84
2025-05-20 05:30:00,32.279,32.321,32.256,32.265,74
2025-05-20 05:45:00,32.265,32.275,32.219,32.266,81
2025-05-20 06:00:00,32.266,32.284,32.233,32.277,73
2025-05-20 06:15:00,32.277,32.317,32.223,32.229,58
2025-05-20 06:30:00,32.249,32.249,32.168,32.183,66
2025-05-20 06:45:00,32.188,32.201,32.152,32.181,87
2025-05-20 07:00:00,32.176,32.188,32.142,32.144,104
2025-05-20 07:15:00,32.144,32.184,32.140,32.161,98
2025-05-20 07:30:00,32.176,32.293,32.162,32.276,103
2025-05-20 07:45:00,32.269,32.314,32.269,32.286,82
2025-05-20 08:00:00,32.286,32.294,32.247,32.268,89
2025-05-20 08:15:00,32.268,32.332,32.268,32.311,107
2025-05-20 08:30:00,32.321,32.378,32.320,32.340,109
2025-05-20 08:45:00,32.350,32.402,32.335,32.399,102
2025-05-20 09:00:00,32.406,32.413,32.371,32.388,89
2025-05-20 09:15:00,32.388,32.412,32.369,32.379,88
2025-05-20 09:30:00,32.379,32.418,32.363,32.402,108
2025-05-20 09:45:00,32.402,32.424,32.400,32.419,106
2025-05-20 10:00:00,32.404,32.418,32.389,32.413,85
2025-05-20 10:15:00,32.413,32.440,32.394,32.436,94
2025-05-20 10:30:00,32.435,32.460,32.432,32.460,93
2025-05-20 10:45:00,32.481,32.513,32.477,32.494,118
2025-05-20 11:00:00,32.496,32.534,32.490,32.534,74
2025-05-20 11:15:00,32.538,32.564,32.524,32.533,84
2025-05-20 11:30:00,32.533,32.592,32.526,32.529,99
2025-05-20 11:45:00,32.529,32.555,32.502,32.553,88
2025-05-20 12:00:00,32.553,32.580,32.483,32.493,104
2025-05-20 12:15:00,32.493,32.573,32.463,32.566,91
2025-05-20 12:30:00,32.573,32.622,32.564,32.599,82
2025-05-20 12:45:00,32.599,32.652,32.596,32.605,82
2025-05-20 13:00:00,32.545,32.545,32.440,32.452,31
2025-05-20 13:15:00,32.456,32.508,32.456,32.468,60
2025-05-20 13:30:00,32.480,32.527,32.447,32.522,23
2025-05-20 13:45:00,32.493,32.609,32.461,32.609,31
2025-05-20 14:00:00,32.682,32.817,32.682,32.817,9
2025-05-20 14:15:00,32.827,32.909,32.806,32.806,26
2025-05-20 14:30:00,32.821,32.883,32.778,32.859,53
2025-05-20 14:45:00,32.844,32.884,32.796,32.876,72
2025-05-20 15:00:00,32.872,32.875,32.804,32.860,58
2025-05-20 15:15:00,32.873,32.904,32.847,32.869,90
2025-05-20 15:30:00,32.877,32.880,32.836,32.876,95
2025-05-20 15:45:00,32.872,32.873,32.840,32.867,95
2025-05-20 16:00:00,32.863,32.911,32.850,32.902,106
2025-05-20 16:15:00,32.895,32.962,32.870,32.939,94
2025-05-20 16:30:00,32.947,32.952,32.902,32.952,104
2025-05-20 16:45:00,32.951,32.998,32.942,32.981,95
2025-05-20 17:00:00,32.986,33.006,32.978,32.986,90
2025-05-20 17:15:00,32.983,33.012,32.975,32.993,93
2025-05-20 17:30:00,32.997,33.036,32.993,33.026,80
2025-05-20 17:45:00,33.035,33.035,33.006,33.031,92
2025-05-20 18:00:00,33.031,33.051,33.024,33.031,76
2025-05-20 18:15:00,33.031,33.037,33.012,33.012,55
2025-05-20 18:30:00,33.000,33.027,32.983,33.027,82
2025-05-20 18:45:00,33.026,33.041,33.015,33.015,97
2025-05-20 19:00:00,33.014,33.049,33.003,33.042,70
2025-05-20 19:15:00,33.054,33.104,33.053,33.104,84
2025-05-20 19:30:00,33.104,33.118,33.091,33.118,78
2025-05-20 19:45:00,33.118,33.135,33.095,33.126,69
2025-05-20 20:00:00,33.126,33.129,33.108,33.108,39
2025-05-20 20:15:00,33.108,33.122,33.094,33.097,47
2025-05-20 20:30:00,33.097,33.102,33.075,33.089,33
2025-05-20 20:45:00,33.084,33.111,33.079,33.105,41
2025-05-20 22:00:00,33.088,33.134,33.049,33.122,95
2025-05-20 22:15:00,33.118,33.138,33.084,33.115,82
2025-05-20 22:30:00,33.115,33.147,33.115,33.122,84
2025-05-20 22:45:00,33.126,33.140,33.126,33.133,52
2025-05-20 23:00:00,33.133,33.152,33.081,33.152,64
2025-05-20 23:15:00,33.152,33.155,33.127,33.127,71
2025-05-20 23:30:00,33.137,33.141,33.120,33.136,28
2025-05-20 23:45:00,33.119,33.141,33.110,33.110,61
2025-05-21 00:00:00,33.102,33.136,33.085,33.136,45
2025-05-21 00:15:00,33.136,33.174,33.112,33.170,49
2025-05-21 00:30:00,33.169,33.169,33.149,33.164,61
2025-05-21 00:45:00,33.153,33.163,33.125,33.163,49
2025-05-21 01:00:00,33.138,33.138,33.018,33.028,30
2025-05-21 01:15:00,33.021,33.021,32.941,32.949,50
2025-05-21 01:30:00,32.945,33.020,32.932,33.020,68
2025-05-21 01:45:00,33.022,33.055,32.993,32.993,52
2025-05-21 02:00:00,32.998,33.030,32.980,33.030,61
2025-05-21 02:15:00,33.005,33.010,32.975,32.996,73
2025-05-21 02:30:00,32.980,33.055,32.980,33.050,54
2025-05-21 02:45:00,33.062,33.073,33.002,33.005,68
2025-05-21 03:00:00,32.993,33.065,32.993,33.065,64
2025-05-21 03:15:00,33.065,33.069,33.047,33.056,30
2025-05-21 03:30:00,33.053,33.053,33.028,33.045,22
2025-05-21 03:45:00,33.026,33.059,33.026,33.054,56
2025-05-21 04:00:00,33.033,33.072,33.023,33.057,48
2025-05-21 04:15:00,33.057,33.081,33.026,33.060,75
2025-05-21 04:30:00,33.055,33.091,33.055,33.090,53
2025-05-21 04:45:00,33.090,33.122,33.065,33.081,68
2025-05-21 05:00:00,33.081,33.111,33.051,33.081,96
2025-05-21 05:15:00,33.078,33.142,33.056,33.135,50
2025-05-21 05:30:00,33.135,33.158,33.094,33.145,81
2025-05-21 05:45:00,33.164,33.184,33.144,33.174,55
2025-05-21 06:00:00,33.174,33.177,33.106,33.138,76
2025-05-21 06:15:00,33.138,33.186,33.121,33.186,46
2025-05-21 06:30:00,33.186,33.186,33.145,33.161,64
2025-05-21 06:45:00,33.162,33.180,33.142,33.159,54
2025-05-21 07:00:00,33.139,33.158,33.084,33.084,71
2025-05-21 07:15:00,33.080,33.167,33.071,33.167,67
2025-05-21 07:30:00,33.172,33.195,33.150,33.195,76
2025-05-21 07:45:00,33.185,33.196,33.163,33.185,92
2025-05-21 08:00:00,33.185,33.189,33.122,33.129,89
2025-05-21 08:15:00,33.120,33.192,33.113,33.162,87
2025-05-21 08:30:00,33.162,33.203,33.156,33.187,84
2025-05-21 08:45:00,33.187,33.187,33.139,33.153,89
